graph,filter,metric,mean,min,median,max
erdos_renyi,Heat,edge_abs_l1_mean,0.06557949426661358,0.045120738799249216,0.06648102613129256,0.09046611650391495
erdos_renyi,Heat,edge_abs_l2_mean,0.006553964444528809,0.003251782486213393,0.006729424972222278,0.01185020798307975
erdos_renyi,Heat,edge_mean_relative_error,0.6534615544894736,0.5036477352601799,0.6337301922025889,0.9267142860572116
erdos_renyi,Heat,degree_mean_relative_error,0.37208733501174696,0.2823531822758999,0.34371119823775254,0.8779268946062095
erdos_renyi,Heat,precision,0.8434995765411936,0.7329545454545454,0.8617021276595744,0.9029850746268657
erdos_renyi,Heat,recall,0.8477558184373508,0.6962025316455697,0.8543039262949275,0.950354609929078
erdos_renyi,Heat,f1,0.8433205211610909,0.7791411042944787,0.8424319368034984,0.9026548672566371
erdos_renyi,Tikhonov,edge_abs_l1_mean,0.04978298584735831,0.03973434478833698,0.04807853868509876,0.08271239793284724
erdos_renyi,Tikhonov,edge_abs_l2_mean,0.003868847902911614,0.0023303303818735487,0.003565407411242447,0.009579774888375728
erdos_renyi,Tikhonov,edge_mean_relative_error,0.49764271500973595,0.37033004573261685,0.4867241766035799,0.8472869595889135
erdos_renyi,Tikhonov,degree_mean_relative_error,0.2883943809429449,0.1395622123614345,0.2343622401530705,0.7606203189503509
erdos_renyi,Tikhonov,precision,0.9199953540017273,0.8611111111111112,0.925315207136118,0.9727272727272728
erdos_renyi,Tikhonov,recall,0.9563296429577118,0.8832116788321168,0.9665458288578589,1.0
erdos_renyi,Tikhonov,f1,0.9371471830717135,0.8864468864468864,0.9377422480620156,0.9683257918552037
geometric,Heat,edge_abs_l1_mean,0.038816666610630164,0.024443953348982087,0.03846251273223186,0.04780670508755839
geometric,Heat,edge_abs_l2_mean,0.002360910361931795,0.0011091255671909141,0.002266178829706982,0.003335739798355104
geometric,Heat,edge_mean_relative_error,0.4838101290101182,0.39197718754002125,0.48359336284504056,0.6041530604920552
geometric,Heat,degree_mean_relative_error,0.26803281552868957,0.19573095994516082,0.25927216576489187,0.35064207786959417
geometric,Heat,precision,0.8887097345014808,0.8151260504201681,0.8967797355068121,0.9598214285714286
geometric,Heat,recall,0.8590816732138669,0.8022388059701493,0.8641705579117223,0.9117647058823529
geometric,Heat,f1,0.872375260229696,0.8452579034941764,0.8739997439344472,0.9058116232464929
geometric,Tikhonov,edge_abs_l1_mean,0.02861245180931618,0.017679880450320765,0.0292299224584556,0.03702386229490991
geometric,Tikhonov,edge_abs_l2_mean,0.0014020530578847594,0.0005234755823611476,0.0014238707325751787,0.0021169321464083817
geometric,Tikhonov,edge_mean_relative_error,0.35993734950244544,0.2653840189641766,0.36028765895767967,0.44069535023662937
geometric,Tikhonov,degree_mean_relative_error,0.10640732831146034,0.0797925328880012,0.10421680484519488,0.14017763042218362
geometric,Tikhonov,precision,0.9564092168315937,0.8970588235294118,0.9699785407725321,0.9849056603773585
geometric,Tikhonov,recall,0.9017415981431567,0.8560606060606061,0.8917526447242818,0.9591194968553459
geometric,Tikhonov,f1,0.9274691144643468,0.9065606361829025,0.9267215270691339,0.9480249480249481
